,Position_Title,Department,Employee_Annual_Salary
16786,SENIOR CITY FORESTER,STREETS & SAN,83640.0
16787,POLICE OFFICER,POLICE,78012.0
16788,POLICE OFFICER,POLICE,75372.0
16789,SERGEANT,POLICE,102564.0
16790,POLICE OFFICER (ASGND AS MARINE OFFICER),POLICE,81900.0
16791,SERGEANT,POLICE,102564.0
16792,CAPTAIN,POLICE,119430.0
16793,POLICE OFFICER,POLICE,83706.0
16794,SENIOR DATA ENTRY OPERATOR,PUBLIC LIBRARY,50280.0
16795,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,87372.0
16796,WATCHMAN,GENERAL SERVICES,43097.6
16797,FIREFIGHTER-EMT,FIRE,79140.0
16798,POLICE OFFICER,POLICE,65016.0
16799,LIBRARY CLERK,PUBLIC LIBRARY,43740.0
16800,CONSTRUCTION LABORER,WATER MGMNT,76960.0
16801,CROSSING GUARD,POLICE,17316.0
16802,SENIOR CLERK-ELECTIONS,BOARD OF ELECTION,63024.0
16803,SERGEANT,POLICE,102564.0
16804,FOREMAN OF MOTOR TRUCK DRIVERS,STREETS & SAN,74276.8
16805,CAPTAIN-EMT,FIRE,121428.0
16806,OPERATING ENGINEER-GROUP C,WATER MGMNT,91457.6
16807,POLICE OFFICER,POLICE,86130.0
16808,MOTOR TRUCK DRIVER,WATER MGMNT,70408.0
16809,ELECTRICAL MECHANIC,AVIATION,89440.0
16810,ADMINISTRATIVE SERVICES OFFICER II,AVIATION,88812.0
16811,FIREFIGHTER-EMT,FIRE,79140.0
16812,POOL MOTOR TRUCK DRIVER,TRANSPORTN,70408.0
16813,TRAFFIC CONTROL AIDE-HOURLY,OEMC,19458.4
16814,POLICE OFFICER,POLICE,71748.0
16815,FOSTER GRANDPARENT,FAMILY & SUPPORT,2756.0
16816,POLICE COMMUNICATIONS OPERATOR II,OEMC,73032.0
16817,REGIONAL DIR - AGING,FAMILY & SUPPORT,62640.0
16818,POLICE OFFICER,POLICE,78012.0
16819,CONSTRUCTION LABORER,WATER MGMNT,76960.0
16820,LABORER,GENERAL SERVICES,70969.6
16821,DETENTION AIDE,POLICE,46656.0
16822,SANITATION LABORER,STREETS & SAN,70969.6
16823,POOL MOTOR TRUCK DRIVER,STREETS & SAN,70408.0
16824,SANITATION LABORER,STREETS & SAN,70969.6
16825,POLICE OFFICER,POLICE,78012.0
16826,TRAFFIC CONTROL AIDE-HOURLY,OEMC,19458.4
16827,CLINICAL THERAPIST III,HEALTH,91224.0
16828,TRAFFIC CONTROL AIDE-HOURLY,OEMC,19458.4
16829,CROSSING GUARD,POLICE,20872.8
16830,SANITATION LABORER,STREETS & SAN,70969.6
16831,LABORER - APPRENTICE,WATER MGMNT,69264.0
16832,OPERATING ENGINEER-GROUP C,AVIATION,91457.6
16833,POOL MOTOR TRUCK DRIVER,STREETS & SAN,70408.0
16834,ELECTRICAL MECHANIC,AVIATION,89440.0
16835,LIBRARIAN IV,PUBLIC LIBRARY,91224.0
16836,LIBRARIAN II,PUBLIC LIBRARY,76524.0
16837,ACCOUNTING TECHNICIAN II,FINANCE,57828.0
16838,POLICE OFFICER,POLICE,78012.0
16839,POLICE OFFICER,POLICE,80724.0
16840,POLICE OFFICER,POLICE,83706.0
16841,POOL MOTOR TRUCK DRIVER,STREETS & SAN,70408.0
16842,POLICE OFFICER,POLICE,78012.0
16843,ANIMAL CONTROL OFFICER,ANIMAL CONTRL,52764.0
16844,POLICE OFFICER,POLICE,61530.0
16845,POLICE OFFICER,POLICE,80724.0
16846,FIREFIGHTER,FIRE,50490.0
16847,POOL MOTOR TRUCK DRIVER,WATER MGMNT,70408.0
16848,ANIMAL CONTROL OFFICER,ANIMAL CONTRL,63552.0
16849,POLICE OFFICER,POLICE,80724.0
16850,STATION LABORER,WATER MGMNT,42535.68
16851,PROJECT COORD,COMMUNITY DEVELOPMENT,77280.0
16852,FIREFIGHTER,FIRE,87324.0
16853,LABORER - APPRENTICE,WATER MGMNT,69264.0
16854,FIREFIGHTER,FIRE,80724.0
16855,POLICE OFFICER,POLICE,80724.0
16856,CONSTRUCTION LABORER,WATER MGMNT,76960.0
16857,POLICE OFFICER,POLICE,75372.0
16858,LIEUTENANT-EMT,FIRE,101484.0
16859,SANITATION LABORER,STREETS & SAN,70969.6
16860,FIREFIGHTER-EMT,FIRE,79140.0
16861,POLICE OFFICER,POLICE,43104.0
16862,POLICE OFFICER,POLICE,43104.0
16863,FIRE ENGINEER-EMT,FIRE,97836.0
16864,POLICE OFFICER,POLICE,80724.0
16865,PARAMEDIC,FIRE,78012.0
16866,POLICE OFFICER,POLICE,65016.0
16867,CONCRETE LABORER,TRANSPORTN,76960.0
16868,HOISTING ENGINEER,STREETS & SAN,95888.0
16869,POLICE OFFICER,POLICE,43104.0
16870,POLICE OFFICER,POLICE,80724.0
16871,EXEC ADMINISTRATIVE ASST II,HUMAN RESOURCES,67224.0
16872,SERGEANT,POLICE,105864.0
16873,POLICE OFFICER,POLICE,83706.0
16874,SANITATION LABORER,STREETS & SAN,70969.6
16875,ASST CORPORATION COUNSEL,LAW,65196.0
16876,POOL MOTOR TRUCK DRIVER,TRANSPORTN,70408.0
16877,POLICE COMMUNICATIONS OPERATOR II,OEMC,69708.0
16878,SANITATION LABORER,STREETS & SAN,70969.6
16879,PARAMEDIC,FIRE,83982.0
16880,SERGEANT,POLICE,109278.0
16881,POLICE OFFICER,POLICE,71748.0
16882,MOTOR TRUCK DRIVER,STREETS & SAN,70408.0
16883,ELECTRICAL MECHANIC,AVIATION,89440.0
16884,POLICE OFFICER,POLICE,78012.0
16885,PARKING ENFORCEMENT AIDE,FINANCE,48060.0
16886,FIREFIGHTER-EMT,FIRE,79140.0
16887,LAW CLERK,LAW,25152.4
16888,FOREMAN OF MOTOR TRUCK DRIVERS,TRANSPORTN,74276.8
16889,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,87372.0
16890,FIREFIGHTER/PARAMEDIC,FIRE,86772.0
16891,ASPHALT LABORER,TRANSPORTN,76960.0
16892,POLICE OFFICER,POLICE,78012.0
16893,LIEUTENANT-EMT,FIRE,104742.0
16894,SUPVSR OF 311 OPERATIONS,OEMC,91980.0
16895,CAPTAIN,FIRE,115644.0
16896,CERTIFIED MEDICAL ASST,HEALTH,50280.0
16897,POLICE OFFICER,POLICE,75372.0
16898,POLICE OFFICER,POLICE,75372.0
16899,FIRE ENGINEER-EMT,FIRE,95076.0
16900,POLICE OFFICER,POLICE,75372.0
16901,CONCRETE LABORER,TRANSPORTN,76960.0
16902,LEAD PRESSMAN,GENERAL SERVICES,64152.0
16903,OPERATING ENGINEER-GROUP C,WATER MGMNT,91457.6
16904,FIREFIGHTER/PARAMEDIC,FIRE,81018.0
16905,ADMINISTRATIVE ASST III,AVIATION,66492.0
16906,MOTOR TRUCK DRIVER,STREETS & SAN,70408.0
16907,LIBRARY CLERK - HOURLY,PUBLIC LIBRARY,15215.2
16908,POLICE OFFICER,POLICE,75372.0
16909,FIREFIGHTER-EMT,FIRE,79140.0
16910,POLICE OFFICER,POLICE,78012.0
16911,FIREFIGHTER-EMT,FIRE,79140.0
16912,POLICE OFFICER,POLICE,80724.0
16913,FIREFIGHTER-EMT,FIRE,81906.0
16914,FIREFIGHTER (PER ARBITRATORS AWARD)-PARAMEDIC,FIRE,97332.0
16915,CROSSING GUARD,POLICE,21912.8
16916,POLICE OFFICER,POLICE,65016.0
16917,POLICE OFFICER,POLICE,75372.0
16918,INVESTIGATOR - IPRA III,IPRA,96384.0
16919,SANITATION LABORER,STREETS & SAN,70969.6
16920,FIREFIGHTER,FIRE,83982.0
16921,FIREFIGHTER,FIRE,83982.0
16922,HOISTING ENGINEER,WATER MGMNT,95888.0
16923,POLICE OFFICER,POLICE,43104.0
16924,POLICE OFFICER,POLICE,83706.0
16925,TITLE V PROGRAM TRAINEE I,FAMILY & SUPPORT,8580.0
16926,FINANCIAL PLANNING ANALYST,COMMUNITY DEVELOPMENT,78000.0
16927,POLICE OFFICER,POLICE,75372.0
16928,MANAGER OF MAPS AND PLATS,TRANSPORTN,69684.0
16929,FIREFIGHTER,FIRE,50490.0
16930,POLICE OFFICER,POLICE,83706.0
16931,LAW CLERK,LAW,25152.4
16932,SEWER BRICKLAYER,WATER MGMNT,86486.4
16933,LIBRARY ASSOCIATE,PUBLIC LIBRARY,62916.0
16934,LIBRARY CLERK,PUBLIC LIBRARY,41784.0
16935,SANITATION LABORER,STREETS & SAN,70969.6
16936,CROSSING GUARD,POLICE,21912.8
16937,INDEX EDITOR,CITY CLERK,52008.0
16938,PLUMBING INSPECTOR,WATER MGMNT,98028.0
16939,LINEMAN,TRANSPORTN,93288.0
16940,ASST TO THE ALDERMAN,CITY COUNCIL,74328.0
16941,POLICE OFFICER,POLICE,43104.0
16942,POLICE OFFICER,POLICE,78012.0
16943,BLACKSMITH,GENERAL SERVICES,87630.4
16944,POOL MOTOR TRUCK DRIVER,AVIATION,70408.0
16945,POLICE OFFICER,POLICE,78012.0
16946,HOSPITALITY WORKER,FAMILY & SUPPORT,9516.0
16947,STAFF ASST TO THE ALDERMAN,CITY COUNCIL,48012.0
16948,CURATOR OF EXHIBITS,CULTURAL AFFAIRS,73752.0
16949,FOREMAN OF MOTOR TRUCK DRIVERS,STREETS & SAN,74276.8
16950,DIR OF PUBLIC AFFAIRS,CULTURAL AFFAIRS,86160.0
16951,SHEET METAL WORKER,AVIATION,85716.8
16952,ELEVATOR INSPECTOR,BUILDINGS,114847.2
16953,POLICE OFFICER,POLICE,75372.0
16954,MARINE PILOT - FIRE BOAT,FIRE,99535.44
16955,FIRE ENGINEER-EMT,FIRE,91740.0
16956,LINEMAN,OEMC,93288.0
16957,HOISTING ENGINEER - MECHANIC,GENERAL SERVICES,102128.0
16958,POOL MOTOR TRUCK DRIVER,TRANSPORTN,70408.0
16959,POLICE OFFICER,POLICE,80724.0
16960,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,87372.0
16961,CROSSING GUARD,POLICE,18148.0
16962,GENERAL LABORER - DSS,STREETS & SAN,41849.6
16963,POLICE OFFICER,POLICE,75372.0
16964,ASPHALT LABORER,TRANSPORTN,76960.0
16965,POLICE OFFICER,POLICE,80724.0
16966,CROSSING GUARD,POLICE,16525.6
16967,POLICE OFFICER,POLICE,78012.0
16968,FIREFIGHTER-EMT,FIRE,84762.0
16969,ELECTRICAL MECHANIC,TRANSPORTN,89440.0
16970,SUPERVISING BOOTER - PARKING,FINANCE,65665.6
16971,POLICE OFFICER (ASSIGNED AS EVIDENCE TECHNICIAN),POLICE,87918.0
16972,FIREFIGHTER,FIRE,78012.0
16973,POLICE OFFICER,POLICE,78012.0
16974,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,87372.0
16975,POLICE OFFICER,POLICE,80724.0
16976,OPERATING ENGINEER-GROUP C,WATER MGMNT,91457.6
16977,OPERATING ENGINEER-GROUP C,WATER MGMNT,91457.6
16978,DEPUTY DIR,FINANCE,128004.0
16979,POLICE OFFICER,POLICE,78012.0
16980,ELECTRICAL MECHANIC,GENERAL SERVICES,89440.0
16981,POLICE OFFICER,POLICE,65016.0
16982,POLICE OFFICER,POLICE,78012.0
16983,POLICE OFFICER,POLICE,75372.0
16984,ACCOUNTANT I,FINANCE,69300.0
16985,LIEUTENANT-EMT,FIRE,101484.0
16986,FOREMAN OF BRICKLAYERS,WATER MGMNT,95139.2
16987,POLICE OFFICER,POLICE,80724.0
16988,MOTOR TRUCK DRIVER,AVIATION,70408.0
16989,MOTOR TRUCK DRIVER,STREETS & SAN,71468.8
16990,MANAGING DEPUTY COMMISSIONER,AVIATION,119256.0
16991,DEPUTY DISTRICT CHIEF,FIRE,148914.0
16992,FOSTER GRANDPARENT,FAMILY & SUPPORT,2756.0
16993,POLICE OFFICER,POLICE,78012.0
16994,POLICE OFFICER,POLICE,83706.0
16995,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,87372.0
16996,HOSPITALITY WORKER,FAMILY & SUPPORT,9516.0
16997,ASST CHIEF OPERATING ENGINEER,GENERAL SERVICES,105892.8
16998,FIREFIGHTER-EMT,FIRE,79140.0
16999,ELECTRICAL MECHANIC,AVIATION,89440.0
17000,MOTOR TRUCK DRIVER,STREETS & SAN,71468.8
17001,POLICE OFFICER,POLICE,75372.0
17002,BATTALION CHIEF - EMT,FIRE,132720.0
17003,ASST CHIEF OPERATING ENGINEER,WATER MGMNT,105892.8
17004,LIBRARIAN III,PUBLIC LIBRARY,83640.0
17005,FIREFIGHTER-EMT,FIRE,79140.0
17006,SERGEANT,POLICE,109278.0
17007,CROSSING GUARD,POLICE,16525.6
17008,POLICE OFFICER,POLICE,78012.0
17009,MANAGER OF CUSTOMER  SERVICES,BUILDINGS,87600.0
17010,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,90540.0
17011,FIREFIGHTER-EMT,FIRE,79140.0
17012,OPERATING ENGINEER-GROUP C,AVIATION,91457.6
17013,SANITARIAN II,HEALTH,49788.0
17014,LIEUTENANT-EMT,FIRE,104742.0
17015,ELECTRICAL INSPECTOR,BUILDINGS,93840.0
17016,ADMINISTRATIVE ASST III,WATER MGMNT,76428.0
17017,POLICE OFFICER,POLICE,83706.0
17018,LIBRARY PAGE,PUBLIC LIBRARY,11627.2
17019,FOREMAN OF CARPENTERS,TRANSPORTN,93641.6
17020,POLICE OFFICER,POLICE,78012.0
17021,MACHINIST (AUTOMOTIVE),GENERAL SERVICES,91353.6
17022,ADMINISTRATIVE ASST II - EXCLUDED,HUMAN RESOURCES,45684.0
17023,FIREFIGHTER (PER ARBITRATORS AWARD)-PARAMEDIC,FIRE,93930.0
17024,POLICE COMMUNICATIONS OPERATOR I,OEMC,66552.0
17025,LIBRARY CLERK - HOURLY,PUBLIC LIBRARY,15215.2
17026,POLICE OFFICER,POLICE,86130.0
17027,COMMUNICATIONS OPERATOR I - 311,OEMC,45372.0
17028,DEPUTY DISTRICT CHIEF,FIRE,148914.0
17029,DEPUTY COMMISSIONER,FAMILY & SUPPORT,112332.0
17030,ADMINISTRATIVE ASST III - EXCLUDED,AVIATION,57648.0
17031,MOTOR TRUCK DRIVER,STREETS & SAN,71468.8
17032,LABORATORY TECHNICIAN III,HEALTH,57828.0
17033,PROPERTY CUSTODIAN,POLICE,60600.0
17034,ASST TO THE ALDERMAN,CITY COUNCIL,57048.0
17035,BATTALION CHIEF - EMT,FIRE,132720.0
17036,OPERATING ENGINEER-GROUP C,WATER MGMNT,91457.6
17037,SENIOR DATA ENTRY OPERATOR,POLICE,57828.0
17038,GENERAL LABORER - DSS,STREETS & SAN,41849.6
17039,INVESTIGATOR - IPRA III,IPRA,91980.0
17040,POLICE OFFICER,POLICE,80724.0
17041,POLICE OFFICER,POLICE,78012.0
17042,ELECTRICAL MECHANIC,WATER MGMNT,89440.0
17043,LIBRARY PAGE,PUBLIC LIBRARY,11627.2
17044,FOREMAN OF ELECTRICAL MECHANICS,AVIATION,95680.0
17045,POLICE OFFICER,POLICE,65016.0
17046,POLICE OFFICER,POLICE,75372.0
17047,LIEUTENANT,FIRE,102978.0
17048,POLICE OFFICER,POLICE,83706.0
17049,FIRE ENGINEER,FIRE,93192.0
17050,DETENTION AIDE,POLICE,69708.0
17051,LIBRARIAN I,PUBLIC LIBRARY,56472.0
17052,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,87372.0
17053,POLICE OFFICER,POLICE,75372.0
17054,FRM OF ELECTRICAL MECHANICS (AUTO),GENERAL SERVICES,95680.0
17055,POLICE OFFICER,POLICE,86130.0
17056,POLICE COMMUNICATIONS OPERATOR II,OEMC,73032.0
17057,ADMIN SERVICES OFFICER I-EXCLUDED,PUBLIC LIBRARY,60408.0
17058,STAFF ASST TO THE ALDERMAN,CITY COUNCIL,36000.0
17059,PLUMBER,WATER MGMNT,95784.0
17060,FOREMAN OF STEAMFITTERS,WATER MGMNT,101920.0
17061,LIBRARIAN I,PUBLIC LIBRARY,69300.0
17062,POLICE OFFICER,POLICE,75372.0
17063,FIREFIGHTER-EMT,FIRE,81906.0
17064,PARAMEDIC I/C,FIRE,87372.0
17065,POLICE OFFICER,POLICE,78012.0
17066,POOL MOTOR TRUCK DRIVER,STREETS & SAN,70408.0
17067,POOL MOTOR TRUCK DRIVER,STREETS & SAN,70408.0
17068,POLICE OFFICER,POLICE,61530.0
17069,ELECTRICAL MECHANIC,WATER MGMNT,89440.0
17070,POLICE OFFICER,POLICE,71748.0
17071,CROSSING GUARD COORD,POLICE,63276.0
17072,LIEUTENANT,POLICE,115566.0
17073,POLICE OFFICER,POLICE,80724.0
17074,WATER QUALITY INSPECTOR,WATER MGMNT,50280.0
17075,POLICE OFFICER,POLICE,80724.0
17076,POLICE OFFICER,POLICE,75372.0
17077,HEAD LIBRARY CLERK,PUBLIC LIBRARY,63456.0
17078,AVIATION SECURITY OFFICER - HOURLY,AVIATION,21902.4
17079,POLICE OFFICER,POLICE,80724.0
17080,POLICE COMMUNICATIONS OPERATOR II,OEMC,73032.0
17081,DEPUTY COMMISSIONER,AVIATION,122856.0
17082,POLICE OFFICER,POLICE,78012.0
17083,COMMUNITY ORGANIZER-CAPS,POLICE,63456.0
17084,POLICE OFFICER,POLICE,75372.0
17085,OPERATING ENGINEER-GROUP C,WATER MGMNT,91457.6
17086,ADMINISTRATIVE ASST II,BUSINESS AFFAIRS,52740.0
17087,POOL MOTOR TRUCK DRIVER,TRANSPORTN,70408.0
17088,POLICE OFFICER,POLICE,83706.0
17089,ADMINISTRATIVE ASST II,AVIATION,57828.0
17090,TRAFFIC CONTROL AIDE-HOURLY,OEMC,19458.4
17091,MOTOR TRUCK DRIVER,TRANSPORTN,70408.0
17092,POLICE OFFICER,POLICE,71748.0
17093,LIEUTENANT,POLICE,119076.0
17094,POLICE OFFICER,POLICE,78012.0
17095,SANITATION LABORER,STREETS & SAN,70969.6
17096,LIBRARIAN IV,PUBLIC LIBRARY,72156.0
17097,OPERATING ENGINEER-GROUP C,WATER MGMNT,91457.6
17098,ADMINISTRATIVE ASST II,PROCUREMENT,60600.0
17099,POLICE OFFICER,POLICE,65016.0
17100,POLICE OFFICER,POLICE,78012.0
17101,POLICE OFFICER,POLICE,78012.0
17102,LIEUTENANT,FIRE,102978.0
17103,POLICE OFFICER,POLICE,86130.0
17104,SANITATION LABORER,STREETS & SAN,63876.8
17105,TRAFFIC CONTROL AIDE-HOURLY,OEMC,19458.4
17106,POLICE OFFICER,POLICE,83706.0
17107,LINEMAN,TRANSPORTN,93288.0
17108,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,87372.0
17109,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,87372.0
17110,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,87372.0
17111,POLICE OFFICER,POLICE,80724.0
17112,CAPTAIN-EMT,FIRE,121428.0
17113,POLICE OFFICER,POLICE,83706.0
17114,LIBRARY CLERK,PUBLIC LIBRARY,39912.0
17115,POLICE OFFICER,POLICE,80724.0
17116,SANITATION LABORER,STREETS & SAN,70969.6
17117,FIREFIGHTER,FIRE,78012.0
17118,POLICE OFFICER,POLICE,80724.0
17119,POLICE COMMUNICATIONS OPERATOR II,OEMC,76452.0
17120,CROSSING GUARD - PER AGREEMENT,POLICE,16317.6
17121,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,87372.0
17122,POLICE OFFICER,POLICE,75372.0
17123,CIVIL ENGINEER V,TRANSPORTN,108924.0
17124,POLICE OFFICER,POLICE,86130.0
17125,POLICE OFFICER,POLICE,80724.0
17126,PLUMBER,WATER MGMNT,95784.0
17127,POLICE OFFICER,POLICE,75372.0
17128,STAFF ASST,BUSINESS AFFAIRS,75240.0
17129,AUTO POUND SUPVSR,STREETS & SAN,91404.0
17130,POOL MOTOR TRUCK DRIVER,STREETS & SAN,56326.4
17131,POLICE OFFICER,POLICE,80724.0
17132,REVENUE INVESTIGATOR II,BUSINESS AFFAIRS,65808.0
17133,POLICE OFFICER,POLICE,61530.0
17134,LIBRARY PAGE,PUBLIC LIBRARY,11044.8
17135,POLICE OFFICER,POLICE,78012.0
17136,DIR OF RESEARCH AND PLANNING,FIRE,122856.0
17137,LIBRARIAN IV,PUBLIC LIBRARY,91224.0
17138,SANITATION LABORER,STREETS & SAN,70969.6
17139,SANITATION LABORER,STREETS & SAN,70969.6
17140,POLICE OFFICER,POLICE,78012.0
17141,SERGEANT,POLICE,105864.0
17142,POLICE OFFICER,POLICE,78012.0
17143,CAPTAIN-EMT,FIRE,121428.0
17144,LIEUTENANT,FIRE,96648.0
17145,ADMINISTRATIVE ASST III,COMMUNITY DEVELOPMENT,66492.0
17146,SANITATION LABORER,STREETS & SAN,70969.6
17147,POLICE OFFICER,POLICE,78012.0
17148,FIREFIGHTER-EMT,FIRE,79140.0
17149,POLICE OFFICER,POLICE,80724.0
17150,POLICE OFFICER,POLICE,75372.0
17151,ADMINISTRATIVE ASST,MAYOR'S OFFICE,59436.0
17152,MOTOR TRUCK DRIVER,AVIATION,70408.0
17153,FIREFIGHTER,FIRE,80724.0
17154,POLICE OFFICER,POLICE,83706.0
17155,TITLE V PROGRAM TRAINEE I,FAMILY & SUPPORT,8580.0
17156,SANITATION LABORER,STREETS & SAN,70969.6
17157,PARKING ENFORCEMENT AIDE,FINANCE,48060.0
17158,LIBRARIAN I,PUBLIC LIBRARY,69300.0
17159,POLICE OFFICER,POLICE,78012.0
17160,CONSTRUCTION LABORER,WATER MGMNT,76960.0
17161,FIRE ENGINEER,FIRE,90540.0
17162,CROSSING GUARD,POLICE,16525.6
17163,FOREMAN OF HOISTING ENGINEERS,STREETS & SAN,104208.0
17164,TRAFFIC CONTROL AIDE-HOURLY,OEMC,19458.4
17165,POLICE OFFICER,POLICE,68382.0
17166,FIREFIGHTER,FIRE,78012.0
17167,SERGEANT,POLICE,99444.0
17168,DEVELOPMENT DIR,CULTURAL AFFAIRS,90696.0
17169,SERGEANT,POLICE,109278.0
17170,POLICE COMMUNICATIONS OPERATOR I,OEMC,69708.0
17171,ENGINEERING TECHNICIAN V,TRANSPORTN,87864.0
17172,SERGEANT,POLICE,99444.0
17173,POLICE OFFICER,POLICE,78012.0
17174,POLICE OFFICER,POLICE,78012.0
17175,SR PROCUREMENT SPECIALIST,PROCUREMENT,84780.0
17176,PUBLIC HEALTH NUTRITIONIST III,HEALTH,67308.0
17177,FIREFIGHTER-EMT,FIRE,84762.0
17178,STREET LIGHT REPAIR WORKER,TRANSPORTN,93288.0
17179,POLICE OFFICER,POLICE,83706.0
17180,POLICE OFFICER,POLICE,75372.0
17181,SERGEANT,POLICE,105864.0
17182,POLICE COMMUNICATIONS OPERATOR I,OEMC,57900.0
17183,POLICE OFFICER,POLICE,86130.0
17184,SERVICE WRITER,GENERAL SERVICES,60156.0
17185,ELECTRICAL MECHANIC,WATER MGMNT,89440.0
17186,ASST CORPORATION COUNSEL SUPVSR,LAW,108072.0
17187,GENERAL LABORER - AVIATION,AVIATION,39520.0
17188,POLICE OFFICER,POLICE,43104.0
17189,BRICKLAYER,GENERAL SERVICES,86486.4
17190,SERGEANT,POLICE,109278.0
17191,BOILER INSPECTOR,BUILDINGS,95513.64
17192,FIREFIGHTER,FIRE,50490.0
17193,TRAFFIC CONTROL AIDE-HOURLY,OEMC,19458.4
17194,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,90540.0
17195,POLICE OFFICER,POLICE,75372.0
17196,CROSSING GUARD,POLICE,18148.0
17197,MOTOR TRUCK DRIVER,STREETS & SAN,70408.0
17198,LINEMAN,OEMC,93288.0
17199,LIEUTENANT-EMT,FIRE,101484.0
17200,POLICE OFFICER,POLICE,86130.0
17201,POLICE OFFICER,POLICE,80724.0
17202,LABORER (BUREAU OF ELECTRICITY),GENERAL SERVICES,76960.0
17203,GENERAL SUPT OF STREETS AND SANITATION,STREETS & SAN,110880.0
17204,FIREFIGHTER/PARAMEDIC,FIRE,90270.0
17205,LIEUTENANT-EMT,FIRE,104742.0
17206,SERGEANT,POLICE,102564.0
17207,CONSTRUCTION LABORER,WATER MGMNT,76960.0
17208,ADMINISTRATIVE ASST III,WATER MGMNT,66492.0
17209,ASPHALT LABORER,TRANSPORTN,76960.0
17210,POLICE OFFICER,POLICE,86130.0
17211,SUPERVISING AUDIO-VISION TESTER,FAMILY & SUPPORT,45684.0
17212,FIRE ENGINEER-EMT,FIRE,91740.0
17213,CROSSING GUARD,POLICE,19895.2
17214,WATCHMAN,WATER MGMNT,43097.6
17215,FIREFIGHTER-EMT,FIRE,81906.0
17216,FIREFIGHTER-EMT,FIRE,81906.0
17217,FIREFIGHTER,FIRE,75372.0
17218,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,93192.0
17219,SERGEANT,POLICE,102564.0
17220,LIEUTENANT,FIRE,96648.0
17221,CONSTRUCTION LABORER,WATER MGMNT,76960.0
17222,PLUMBING INSPECTOR,WATER MGMNT,98028.0
17223,LIEUTENANT-EMT,FIRE,108132.0
17224,PARALEGAL II,POLICE,76428.0
17225,PAINTER,STREETS & SAN,84760.0
17226,POLICE OFFICER,POLICE,83706.0
17227,POLICE OFFICER,POLICE,86130.0
17228,TRAFFIC CONTROL AIDE-HOURLY,OEMC,19458.4
17229,LIEUTENANT-EMT,FIRE,101484.0
17230,POLICE OFFICER,POLICE,78012.0
17231,POLICE OFFICER,POLICE,65016.0
17232,TRAFFIC CONTROL AIDE-HOURLY,OEMC,19458.4
17233,POLICE OFFICER,POLICE,80724.0
17234,FIREFIGHTER-EMT,FIRE,79140.0
17235,SAFETY SPECIALIST,AVIATION,72936.0
17236,FIREFIGHTER,FIRE,87324.0
17237,LIEUTENANT-EMT,FIRE,104742.0
17238,POLICE OFFICER (ASGND AS MARINE OFFICER),POLICE,81900.0
17239,POLICE OFFICER,POLICE,61530.0
17240,CROSSING GUARD - PER AGREEMENT,POLICE,16317.6
17241,POLICE OFFICER,POLICE,78012.0
17242,FIREFIGHTER-EMT,FIRE,79140.0
17243,POLICE OFFICER,POLICE,75372.0
17244,POLICE OFFICER,POLICE,80724.0
17245,GENERAL LABORER - DSS,STREETS & SAN,41849.6
17246,POLICE OFFICER,POLICE,75372.0
17247,POLICE OFFICER,POLICE,61530.0
17248,SUPPORT SERVICES COORD,FAMILY & SUPPORT,63456.0
17249,POLICE OFFICER,POLICE,75372.0
17250,MOTOR TRUCK DRIVER,STREETS & SAN,70408.0
17251,POLICE OFFICER,POLICE,83706.0
17252,POLICE OFFICER,POLICE,80724.0
17253,PARAMEDIC,FIRE,65016.0
17254,ALDERMAN,CITY COUNCIL,114996.0
17255,POLICE OFFICER,POLICE,83706.0
17256,HOISTING ENGINEER - MECHANIC,GENERAL SERVICES,102128.0
17257,FRM OF ELECTRICAL MECHANICS (AUTO),GENERAL SERVICES,95680.0
17258,MACHINIST (AUTO) POLICE MOTOR MAINT,GENERAL SERVICES,91353.6
17259,POLICE OFFICER,POLICE,80724.0
17260,POLICE OFFICER,POLICE,80724.0
17261,POLICE OFFICER,POLICE,80724.0
17262,POLICE OFFICER,POLICE,86130.0
17263,MOTOR TRUCK DRIVER,STREETS & SAN,70408.0
17264,POLICE OFFICER,POLICE,83706.0
17265,ASST COMMISSIONER,FIRE,106884.0
17266,POLICE OFFICER,POLICE,71748.0
17267,CIVIL ENGINEER IV,TRANSPORTN,99648.0
17268,POLICE OFFICER,POLICE,78012.0
17269,SUPERVISING CONSUMER INVESTIGATOR,BUSINESS AFFAIRS,73752.0
17270,LEGISLATIVE AIDE,CITY COUNCIL,25008.0
17271,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,87372.0
17272,POLICE OFFICER,POLICE,75372.0
17273,POLICE OFFICER,POLICE,80724.0
